Tags,Platform,Avatar,Channel Name,Username,Channel Url,Location,Subscribers Count,Video count,Description,joined,Views,Email,3 Latest Videos Url,3 Latest Videos Title,3 Latest videos image
Entertainment,Youtube,https://yt3.googleusercontent.com/lBMB_HvLyNlnszELbh5V0-qCUcuzTU95zE9PRPkNjbUr4Z1JUbzHXxEtaq9MeeCVD_VnRT37=s176-c-k-c0x00ffffff-no-rj,Jamie Oliver,@JamieOliver,https://www.youtube.com/channel/UCpSgg_ECBj25s9moCDfSTsA/about,United Kingdom,5.8M subscribers,1.9K,"Description
We are all about beautiful recipes, expert tutorials, fresh talent, wonderful food and funny videos every week plus loads of your other favourite YouTubers dropping by to say hello. 
PLUS this channel is about you too. Tell us what you want to see, what's cool and how we can do better and we'll talk straight back. Get involved and subscribe for the latest!

 
Big Love

Jamie O. x

#FOODTUBE",21-May-06,"893,346,093 views",,"['https://www.youtube.com/watch?v=csCo9izJ0-Y', 'https://www.youtube.com/watch?v=lYWiAQUYfo8', None]","[""Gennaro's Perfect Pea Pasta by Jamie Oliver 3 days ago 8 minutes, 5 seconds 45,242 views"", 'Tuna Pasta | Jamie Oliver by Jamie Oliver 5 days ago 5 minutes, 19 seconds 89,674 views', 'Chocolate Twister Bread | Jamie Oliver by Jamie Oliver 10 days ago 8 minutes, 39 seconds 71,129 views']","['https://i.ytimg.com/vi/csCo9izJ0-Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCHURSsO1BUPEjjCuZI4dVd8wyYbQ', 'https://i.ytimg.com/vi/lYWiAQUYfo8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB0pkNubhoPbM35vX3oTspRttuSNA', 'https://i.ytimg.com/vi/ZYj9P719F-g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC0XClWL9j-1fO6o2aOC5QQlJjOSg']"
Music,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqNCm1d-ine3397_-RLtOARV9_NgzGmGduA7FByu8Q=s176-c-k-c0x00ffffff-no-rj,GEazyMusicVEVO,@GEazyMusicVEVO,https://www.youtube.com/channel/UCjjC1Jk_1o1VWpLalgo21XQ/about,,,193,"Description
G-Eazy on Vevo - Official Music Videos, Live Performances, Interviews and more...",26-Apr-14,"4,627,590,518 views",,"['https://www.youtube.com/watch?v=HBLdnKCbzZY', 'https://www.youtube.com/watch?v=3PSkzQrpXl8', None]","[""G-Eazy - The Making of 'Tulips & Roses' (Vevo Footnotes) by GEazyMusicVEVO 2 weeks ago 3 minutes, 12 seconds 34,257 views"", ""G-Eazy - Tulips & Roses (Director's Cut) by GEazyMusicVEVO 2 weeks ago 3 minutes, 51 seconds 100,930 views"", 'G-Eazy - Tulips & Roses (Official Video) by GEazyMusicVEVO 3 weeks ago 3 minutes, 24 seconds 1,229,267 views']","['https://i.ytimg.com/vi/HBLdnKCbzZY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA5o8MQsDJ6hrTvgddI2HemGBHIBg', 'https://i.ytimg.com/vi/3PSkzQrpXl8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLADb6WveaN2MVmtY7NLvxFrd7QMNw', 'https://i.ytimg.com/vi/iEtPFB41lB0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB4V7FVxwJ_dc9TpuCQLMsTsdldJg']"
Entertainment,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqNGo8e1iUG5aTRFrDO0QtdZ7JNe8xl3QYff_VY5-w=s176-c-k-c0x00ffffff-no-rj,Ben Phillips,@benphillipsuk,https://www.youtube.com/channel/UChoQQRDf-zU1h6_YjKkWvdw/about,United Kingdom,4.58M subscribers,812,"Description
PRANKS! PRANKS! and more....SORRY BRO!! Subscribe to my channel and join my ARMY! I'm Ben Phillips, Pranking my broElliot Giles my mission is to make the world SMILE! Every time you click thumbs up that potentially makes 10 other people SMILE!",4-Sep-14,"1,243,206,715 views",,"['https://www.youtube.com/watch?v=wF7piWazdr0', 'https://www.youtube.com/watch?v=RG_iCd5tMr0', None]","['NEW 1,000,000,000 HOUSE SURPRISE GONE WRONG! by Ben Phillips 2 days ago 14 minutes, 54 seconds 58,656 views', '10 MILLION PUFF BARS PRANK by Ben Phillips 13 days ago 5 minutes, 52 seconds 74,566 views', 'MY BRO WON $100,000 SCAM - PRANK by Ben Phillips 1 month ago 14 minutes, 32 seconds 99,067 views']","['https://i.ytimg.com/vi/wF7piWazdr0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZqwqiAabhvwu88GhmC6VEif23yg', 'https://i.ytimg.com/vi/RG_iCd5tMr0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBkr2-AkX4iEtzfORa4Q5_Svg2XxQ', 'https://i.ytimg.com/vi/z8oGi4fb7IM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCujJwR6wqSya7BuNxk8A_K4Kg6lg']"
Howto & Style,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqMHbvr00lblyS7frIsFN7etQU9ln_2cEY6A7uxK4A=s176-c-k-c0x00ffffff-no-rj,ThreadBanger,@ThreadBanger,https://www.youtube.com/channel/UCBMxQPhfM6nkhQ8vPfQhkCg/about,United States,3.78M subscribers,992,"Description
Threadbanger...Not Yo Mama's DIY Channel
Inquiries: threadbangerbiz@gmail.com",3-Mar-07,"1,182,275,046 views",,"['https://www.youtube.com/watch?v=OXak5ttiIus', 'https://www.youtube.com/watch?v=2qZOfpVpSUM', None]","['DIY FLOWER DOUGH BREAD - Man Vs Corinne by ThreadBanger 1 month ago 12 minutes, 38 seconds 228,610 views', 'DIY LOVE - Man Vs Art #5 by ThreadBanger 3 months ago 6 minutes, 41 seconds 92,481 views', 'DIY Stencil Roller - Man Vs Art #4 by ThreadBanger 3 months ago 7 minutes, 11 seconds 130,910 views']","['https://i.ytimg.com/vi/OXak5ttiIus/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB7btYaFfTvFaA31yv-bRpEh8UH4g', 'https://i.ytimg.com/vi/2qZOfpVpSUM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAFOjmh6qKMvq_I3iiN6Zp6uqzXlQ', 'https://i.ytimg.com/vi/pD3ofhKJFqc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDXEFwGONLdjGBuSpu98F26PkHTfg']"
People & Blogs,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqNipnHNmPaVWLtP9UYewILs0IE4lOtZim_BDKcCRQ=s176-c-k-c0x00ffffff-no-rj,PowerfulJRE,@joerogan,https://www.youtube.com/channel/UCzQUP1qoWDoEbmsQxvdjxgQ/about,,14.7M subscribers,965,"Description
The Joe Rogan Experience podcast",12-Jan-13,"2,929,153,702 views",,"['https://www.youtube.com/watch?v=x26XiY0UfUY', 'https://www.youtube.com/watch?v=iCLXrtlpbOU', None]","['Clovis People: The Original North Americans - Historian Dan Flores Explains by PowerfulJRE 22 hours ago 15 minutes 803,248 views', 'Ric Flair on Surviving Horrific Plane Crash by PowerfulJRE 3 days ago 5 minutes, 9 seconds 719,825 views', 'How Ric Flair Developed His Persona by PowerfulJRE 3 days ago 9 minutes, 4 seconds 988,302 views']","['https://i.ytimg.com/vi/x26XiY0UfUY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA9LXlWuji1TihGglVm2ys1GycKZA', 'https://i.ytimg.com/vi/iCLXrtlpbOU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCYsuE31Kf-_YmbaaOMC89j6izRrg', 'https://i.ytimg.com/vi/D3M9Q0WwuFY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLArQ9UDjMhgoDRuF4yBhoLI3dkneA']"
Entertainment,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqMFascX4mnehcFUQ9fOdaSRtLxFdOMm7M2VybMJwQ=s176-c-k-c0x00ffffff-no-rj,Sidemen,@Sidemen,https://www.youtube.com/channel/UCDogdKl7t7NHzQ95aEwkdMw/about,United Kingdom,18.3M subscribers,300,"Description
Welcome to the official Sidemen channel. The home of #SidemenSundays - We post new Sidemen videos every single Sunday!",14-Jun-15,"5,048,415,401 views",,"['https://www.youtube.com/watch?v=2Yo4ncYUpdc', 'https://www.youtube.com/watch?v=Z4c7_QVcKJQ', None]","['SIDEMEN ELECTRIC SHOCK HIDE & SEEK by Sidemen 2 days ago 45 minutes 4,954,861 views', 'SIDEMEN EXTREME HOT VS COLD CAMPING by Sidemen 9 days ago 1 hour, 20 minutes 7,039,562 views', 'SIDEMEN $100,000 ANCIENT VS FUTURISTIC HOLIDAY by Sidemen 4 weeks ago 1 hour, 14 minutes 7,885,115 views']","['https://i.ytimg.com/vi/2Yo4ncYUpdc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBTJnQs_tMpgdLLp60OoDN4cyd2PQ', 'https://i.ytimg.com/vi/Z4c7_QVcKJQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCNXYrA066xLEkN-4l3ol-kBIEuEg', 'https://i.ytimg.com/vi/vVhPSgLITUQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCp1bTqj-aaRekL2_7ApAiti8fjHw']"
Entertainment,Youtube,https://yt3.googleusercontent.com/TvQqwuIcbnP1UpXss3_Hyw-aZVXgrvImUdUDUdWqNtJH6BmHpqv09B54Uw853C7iuNoBtftSGO4=s176-c-k-c0x00ffffff-no-rj,Mr. Nightmare,@mrnightmare,https://www.youtube.com/channel/UCnM02drQP-dF7WMgtJHR4Xw/about,United States,6.2M subscribers,308,"Description
Here you will find straight to the point videos which mostly consist of scary true stories & events.
Feedback / Requests? Send me an email.
Feel free to send me stories, news events, or any strange findings from the internet, and hopefully it could be included in a video. Just try to make the grammar neat and understandable.",3-Aug-14,"1,097,756,257 views",,"['https://www.youtube.com/watch?v=S0OlScJEerM', 'https://www.youtube.com/watch?v=lbV2yOuJFwA', None]","['4 Horrific TRUE Church Horror Stories by Mr. Nightmare 5 days ago 16 minutes 636,216 views', 'When People Find Creepy Hidden Rooms in Their Houses... by Mr. Nightmare 12 days ago 13 minutes, 35 seconds 775,178 views', '5 Horrific TRUE School Lockdown Stories (Vol. 5) by Mr. Nightmare 2 weeks ago 17 minutes 856,295 views']","['https://i.ytimg.com/vi/S0OlScJEerM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDzEzrPPT12eLsF6yY617mCleXLQ', 'https://i.ytimg.com/vi/lbV2yOuJFwA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBo-HDlF1OF00UgQ0fp7Q1sl4Ldpw', 'https://i.ytimg.com/vi/sRiwfl79FCo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDkq3G2dgmcqCymN9ZF0DZPuKUd5g']"
Music,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqObKtvyhry1mx1K6IFA957OB-RrtckzJ4baHuvyzg=s176-c-k-c0x00ffffff-no-rj,RoomieOfficial,@RoomieOfficial,https://www.youtube.com/channel/UC9SVhrnsGxWwiBRWT9c7Ozw/about,United States,7.56M subscribers,848,"Description
Songwriter, singer, dumb idiot.
For business stuff: roomiebusiness@gmail.com",25-Jul-10,"1,492,333,534 views",,"['https://www.youtube.com/watch?v=DVfF0O0TWZY', 'https://www.youtube.com/watch?v=z4T5abUV87s', None]","['I Made Songs From Your Instagram DMs! by RoomieOfficial 2 weeks ago 3 minutes, 41 seconds 111,098 views', 'Top 100 MOST STREAMED Songs of All Time (Updated 2023) by RoomieOfficial 1 month ago 17 minutes 693,245 views', 'i made mashups that will blow your mind (and you can too) by RoomieOfficial 2 months ago 8 minutes, 50 seconds 353,735 views']","['https://i.ytimg.com/vi/DVfF0O0TWZY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAyGxDEl5x9bJm6NJU0K_v9uSpd3w', 'https://i.ytimg.com/vi/z4T5abUV87s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDYGDZrxUBxPupteJ0RmJ7YxjmYgw', 'https://i.ytimg.com/vi/Xmfm8Hw9H9k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBv0q6LuZuZOKwQUSWGi_oIJKs8pA']"
Howto & Style,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqOa-jw2y3aAKcV17B69T65M606whBTlae9ROo2yCg=s176-c-k-c0x00ffffff-no-rj,How To Cake It,@HowToCakeIt,https://www.youtube.com/channel/UCvM1hVcRJmVWDtATYarC0KA/about,Canada,4.29M subscribers,549,"Description
Welcome to How To Cake It with Yolanda Gampp! If you love baking and want to learn how to turn eggs, sugar and butter into CRAZY novelty cakes like Yo°Øs famous Watermelon Cake then join us. Each episode includes the A-Z process and recipes for making one of a kind edible creations, gorgeous buttercream cakes, and more! Want to more? Check out howtocakeit.com - Learn how to make insta worth desserts yourself in one of our LIVE baking tutorials. Or join Yo's FREE Baking Basics Course and learn over 12 of her custom recipes like Italian Meringue Buttercream and the ultimate chocolate cake.  Interested in learning cake decorating?  Sign up for Yolanda's Cake Decorating Masterclass to learn ALL her foundational techniques for ANY cake - using simple syrup, filling and stacking, icing, creating stripes and drop plus so much more! All at howtocakeit.com!


#HOWTOCAKEIT #Cake #Baking",1-Feb-15,"581,638,443 views",,"['https://www.youtube.com/watch?v=_UCoRpOxNlE', 'https://www.youtube.com/watch?v=CXw4wX2IMiw', None]","['Spring Cakies With Homemade Marshmallow, Snickerdoodle Cookies and Tie Dye Cake | How to Cake It by How To Cake It 1 day ago 11 minutes, 32 seconds 17,861 views', 'How To Cake Peppa Pig Rain Boots | Realistic Cakes With Yolanda Gamp by How To Cake It 8 days ago 12 minutes, 28 seconds 49,210 views', 'Chocolate Mint Cake Board TOWER! | How to Cake It by How To Cake It 2 weeks ago 9 minutes, 51 seconds 43,375 views']","['https://i.ytimg.com/vi/_UCoRpOxNlE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCAzqq8KCu3FymMv1o-e_2a2fSSOw', 'https://i.ytimg.com/vi/CXw4wX2IMiw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAM55uNL1fSNvd202Srw_wGd45BbA', 'https://i.ytimg.com/vi/wjxuk4i9Pyo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC-MetRDXmcoXJX8dNIUbkRD6gqIA']"
Entertainment,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqPO3WkSc6lKegQcQqmHwNCfVvEbuWfMJGD1BFXWLjY=s176-c-k-c0x00ffffff-no-rj,Vania Mania Kids,@VaniaManiaKids,https://www.youtube.com/channel/UCLbyJSPEe2lx3jY-G0CFR3g/about,United States,21.8M subscribers,954,"Description
Hi and welcome! We are a big family. Mom, Dad and the kids Ivan, Maria, Stephi, Dasha and Alex! Yep, there are 5!

Let your children join the fun! Please support us by subscribing and liking :)",10-Sep-15,"9,465,566,037 views",,"['https://www.youtube.com/watch?v=vT7GlVcDcHY', 'https://www.youtube.com/watch?v=Q0-R28hOmvk', None]","[""Five Kids Let's share with each other | Ice Cream Machine by Vania Mania Kids 5 hours ago 23 minutes 77,256 views"", 'Five Kids Super Mario bros rescuing Princess | Other funny videos by Vania Mania Kids 1 day ago 38 minutes 179,728 views', 'Five Kids Stephi copies brother and sister Compilation 1 hour by Vania Mania Kids 2 days ago 1 hour, 1 minute 191,378 views']","['https://i.ytimg.com/vi/vT7GlVcDcHY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBNv-ChzYRZLB9hai3y-uxS7DitXw', 'https://i.ytimg.com/vi/Q0-R28hOmvk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBi1v1Iq-w59ggz9cBsHfm0hl5eFw', 'https://i.ytimg.com/vi/1QmsH6_U_E8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAzzORgqc_OsIIbRY1c5QqFo9AtOA']"
Entertainment,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqOIkfA2iU2IiNffSjaOKv9Z7CNMNZL0i4FEw5aJMQ=s176-c-k-c0x00ffffff-no-rj,Looper,@Looper,https://www.youtube.com/channel/UCP1iRaFlS5EYjJBryFV9JPw/about,United States,5.68M subscribers,6.6K,"Description
Looper is the go-to source for the movies, TV shows and video games we all love. We're addicted to all things superhero and Star Wars, but we're not afraid to binge watch some reality TV when the mood strikes. Whether it's revealing Easter eggs and secrets hidden in your favorite films, exposing movie mistakes, highlighting the best deleted scenes, or uncovering the truth about reality TV's strangest stars, Looper has endless entertainment for the discerning YouTube viewer.",25-Nov-15,"3,924,573,008 views",,"['https://www.youtube.com/watch?v=3MGSOuJMS_M', 'https://www.youtube.com/watch?v=FTkt0HlqSBI', None]","[""Kraven The Hunter's First Footage Reveals An R-Rated Bloodbath by Looper 15 hours ago 3 minutes, 15 seconds 25,602 views"", ""Robert Pattinson's Gross Habit On The Set Of Twilight by Looper 18 hours ago 3 minutes, 34 seconds 6,382 views"", 'Star Trek: Picard Kept Its TNG Crew Alive For One Bold Reason by Looper 20 hours ago 3 minutes, 2 seconds 40,413 views']","['https://i.ytimg.com/vi/3MGSOuJMS_M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5FhbMYJHx6ak-yqWHpBVPkBeRdg', 'https://i.ytimg.com/vi/FTkt0HlqSBI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCsXGdEV8eZxq3Uz96th-M2_LbisA', 'https://i.ytimg.com/vi/weF8leT592Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCSPOMApoN2Dnjc8RKFIzhnNdi-Rw']"
Gaming,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqO-fIgw75SfRFKaEplHuWsNz2Ney7Sk0IaKBUqpGg=s176-c-k-c0x00ffffff-no-rj,GamingWithKev,@GamingWithKev,https://www.youtube.com/channel/UCrkfdiZ4pF3f5waQaJtjXew/about,United States,8.76M subscribers,2.8K,"Description
Welcome to GamingWithKev! Here you'll find some hilarious gaming videos, YouTube Shorts, animated parodies, and other bits of entertainment! If this sounds like your kind of channel then please Subscribe Today!",8-May-15,"5,065,421,518 views",,"['https://www.youtube.com/watch?v=8s9oc9cCYj4', 'https://www.youtube.com/watch?v=9nQYDxGY8_w', None]","['Do NOT Trust SpongeBob.. (FULL GAME) by GamingWithKev 14 hours ago 19 minutes 23,414 views', ""A Killer is on the loose in a small town.. Guess who it is? - Bonnie's Bakery: Fresh Ingredients by GamingWithKev 2 days ago 47 minutes 122,035 views"", 'If you MOVE these Animatronics KILL YOU in Fredbear and Friends Revelation by GamingWithKev 4 days ago 28 minutes 92,394 views']","['https://i.ytimg.com/vi/8s9oc9cCYj4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAaRq3jVW_aZXnWjnffkGSq7uDozA', 'https://i.ytimg.com/vi/9nQYDxGY8_w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBrzemCncIK3hGmjpfG2cd1K9bYGg', 'https://i.ytimg.com/vi/dMX9RjCFQxc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCH1BFFBsUnwmJepZxPBCEuZvRrEw']"
Entertainment,Youtube,https://yt3.googleusercontent.com/8dmkFX1UcqiTQSTi2pbgNEHi-MPij0Ad6C0ENRbqm3wiZpBo8RYzXiQqyZNViC17JJEiEdTDH8o=s176-c-k-c0x00ffffff-no-rj,MTV,@MTV,https://www.youtube.com/channel/UCxAICW_LdkfFYwTqTHHE0vg/about,United States,10.6M subscribers,4.8K,"Description
This is the official YouTube page for MTV! Check out performances from VMAs, request your favorite music videos on MTV's Friday Livestream, and watch original series MTV's Following: Bretman Rock. Be sure to subscribe so you don't miss anything!",22-Nov-05,"2,423,476,205 views",,"['https://www.youtube.com/watch?v=hpDPXwSy1sA', 'https://www.youtube.com/watch?v=OT9lGXVlBYk', None]","['Olivia Holt on °ÆChicago°Ø & New Music | #MTVFreshOut by MTV 2 days ago 6 minutes, 9 seconds 3,185 views', 'Maeta on Touring, Working w/ Pharrell & Her New EP | #MTVFreshOut by MTV 8 days ago 4 minutes, 49 seconds 2,790 views', ""Maeta Performs 'S(EX)' | #MTVFreshOut by MTV 9 days ago 4 minutes, 9 seconds 4,207 views""]","['https://i.ytimg.com/vi/hpDPXwSy1sA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_lTTSOIFg6sf-sVFkyGHbib2ekA', 'https://i.ytimg.com/vi/OT9lGXVlBYk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBgUEuuKkbudR9DFqrs6ZOTdGTl6w', 'https://i.ytimg.com/vi/VZh-00tbysc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBViwtGLwj_x8_2U05Ut0fOHqQ4sA']"
Howto & Style,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqN1jK0OEuwt-jv9puCDIriIaZ1MQ9BOSVLFIVnr=s176-c-k-c0x00ffffff-no-rj,Braille Skateboarding,@brailleskateboarding,https://www.youtube.com/channel/UC9PgszLOAWhQC6orYejcJlw/about,United States,5.81M subscribers,5.1K,"Description
WE MAKE SKATEBOARDING VIDEOS!  LEARN TO SKATEBOARD!

On our channel you will find skateboarding content as well as the best tutorials for learning to skateboard.  Our goal is to grow the positive activity of skateboarding by driving more attention to it and then teaching those newly introduced how to skateboard.  It is a grass roots movement at the bottom fostering skateboarding where it all starts and where we all originally fell in love with it.  Welcome to the family of skateboarders the world over.

Go to our website for more skateboarding help and join Braille Army Plus!

https://www.brailleskateboarding.com

Interested in having your company or product featured in a Braille video?  Email kylie@brailleskateboarding.com

To send us a board, collab, or video ideas email us skateit@brailleskateboarding.com.

For Braille merch inquiries please email chloe@brailleskateboarding.com

For all other inquiries email contact@brailleskateboarding.com",27-Dec-05,"1,804,828,661 views",,"['https://www.youtube.com/watch?v=8A5AxrhksPo', 'https://www.youtube.com/watch?v=u7XJkoiaA08', None]","['TESTING THE WORST RAIL ON AMAZON by Braille Skateboarding 23 hours ago 17 minutes 41,237 views', 'SKATEPARK VS DIY SKATE SPOT by Braille Skateboarding 1 day ago 13 minutes, 20 seconds 34,074 views', 'JD VS PURPLE! LEGENDARY GAME OF SKATE by Braille Skateboarding 2 days ago 11 minutes, 52 seconds 47,222 views']","['https://i.ytimg.com/vi/8A5AxrhksPo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCFEy4TgThJsgumzn9f9jzAdbCruA', 'https://i.ytimg.com/vi/u7XJkoiaA08/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDkXIKIUlhv9QobbCcC2PdP-uTAtQ', 'https://i.ytimg.com/vi/Wp4Z8FxjYhw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA0bRMybvSjPv6NiNdeTV213v7YBw']"
Music,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqNXA2d5fVzs-TKeen9XZDJFjLixHW8-ijgWKVV0cQ=s176-c-k-c0x00ffffff-no-rj,Majestic Casual,@majesticcasual,https://www.youtube.com/channel/UCXIyz409s7bNWVcM-vjfdVA/about,Germany,4.3M subscribers,2.3K,"Description
Music discoveries for curious minds. We don°Øt care about trends, genres, stats or names. We value authenticity and diversity, things that spark our memories and emotions. To find these rare experiences we stay curious and always with open ears and eyes for the undiscovered. 

Submit your music: 
http://submit.majesticcasual.com

Submit your photos:
http://gallery.majesticcasual.com

Use our tracks in your videos:
http://majesticcasual.com/licensing

Download copyright free music: 
http://smarturl.it/cdjl7e",29-Apr-12,"2,161,032,702 views",,"['https://www.youtube.com/watch?v=VtO_OIM0cU4', 'https://www.youtube.com/watch?v=7snCys8I_rg', None]","['SBTRKT, George Riley, Sampha - L.F.O. by Majestic Casual 2 hours ago 4 minutes, 33 seconds 1,158 views', 'Nick Hakim - Vertigo (Live) | Majestic Sessions by Majestic Casual 1 day ago 4 minutes, 14 seconds 4,874 views', 'BAD WITH PHONES - Ghost feat. carina by Majestic Casual 2 days ago 3 minutes, 34 seconds 7,143 views']","['https://i.ytimg.com/vi/VtO_OIM0cU4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCMCZFHf2GJqiAVdgHXAVWckztY-g', 'https://i.ytimg.com/vi/7snCys8I_rg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBD9DEJpGpa6dgwCTOuK7jji2007Q', 'https://i.ytimg.com/vi/-UZF3rrFPTo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCG55FEcV4JicSHz-bIwHMsRgWe3Q']"
